dataset,run,indiv,L,delta,VAR,CNN,HV,ARI,clusters,time
a3,4,0,10,98.84529946162075,1.2867947303398453,0.0,852.6750526047458,0.031289715907691175,3,34.76920557022095
a3,4,1,10,98.84529946162075,1.2867947303398453,0.0,855.9862248548633,0.031289715907691175,3,34.76920557022095
a3,4,2,10,98.84529946162075,0.05131434575178323,259.2996031746067,858.015378796275,0.5919946853422425,53,34.76920557022095
a3,4,3,10,98.84529946162075,0.7990001071252945,1.8829365079401201,860.3709261309484,0.08203532211427392,5,34.76920557022095
a3,4,4,10,98.84529946162075,1.1430620831558473,1.7757936507972873,862.874973992396,0.056087931760327885,5,34.76920557022095
a3,4,5,10,98.84529946162075,0.5599050021648829,3.401984126987716,864.7501404980541,0.1237239808975161,6,34.76920557022095
a3,4,6,10,98.84529946162075,0.7140502202930744,3.011904761908373,865.6944315797997,0.09134835907110089,6,34.76920557022095
a3,4,7,10,98.84529946162075,1.2629936095156726,1.2976190476226508,866.1981317942565,0.03652677587749465,5,34.76920557022095
a3,4,8,10,98.84529946162075,1.1842911508562428,1.6396825396861674,867.2105467221471,0.03890022608347115,5,34.76920557022095
a3,4,9,10,98.84529946162075,0.3379229644491561,8.359126984130526,867.6498305796654,0.20334233276111482,10,34.76920557022095
a3,4,10,10,98.84529946162075,0.39692870910576644,6.999603174606714,868.7950505949282,0.17522987666583614,9,34.76920557022095
a3,4,11,10,98.84529946162075,0.3632168689196833,7.70079365079719,870.0301777080617,0.22408285450451593,9,34.76920557022095
a3,4,12,10,98.84529946162075,0.29485763901398465,8.47896825397184,870.9066990905287,0.22955393941915023,9,34.76920557022095
a3,4,13,10,98.84529946162075,0.05733120828358275,123.39722222222566,871.5441978693816,0.5945878563957205,35,34.76920557022095
a3,4,14,10,98.84529946162075,0.0538180430944448,166.01547619047963,872.0341006408172,0.6011762668232348,39,34.76920557022095
a3,4,15,10,98.84529946162075,0.7660920260972979,2.954761904765495,872.4568774126019,0.08810228076536879,6,34.76920557022095
a3,4,16,10,98.84529946162075,0.5269969211368861,4.473809523813091,872.8293410028734,0.1347646154607926,7,34.76920557022095
a3,4,17,10,98.84529946162075,0.051407536435931836,249.67976190476548,873.1985833344544,0.5939125378697009,52,34.76920557022095
a3,4,18,10,98.84529946162075,0.4749551153326627,4.530952380955969,873.4779062578724,0.14082629800013244,7,34.76920557022095
a3,4,19,10,98.84529946162075,0.06494575053605228,74.39960317460663,873.7758310386112,0.5693696431837345,29,34.76920557022095
a3,4,20,10,98.84529946162075,0.7140502202930744,3.011904761908373,873.8206382830152,0.09134835907110089,6,34.76920557022095
a3,4,21,10,98.84529946162075,0.057704433935498955,117.14246031746379,874.080448708401,0.594761512184105,34,34.76920557022095
a3,4,22,10,98.84529946162075,0.053327691849392976,169.67658730159076,874.4861870915352,0.6073179747048579,38,34.76920557022095
a3,4,23,10,98.84529946162075,0.42820817524051524,6.279365079368644,874.5674383042824,0.16344812619879742,8,34.76920557022095
a3,4,24,10,98.84529946162075,0.10562647209742136,35.59404761905106,874.6221648711453,0.4667690150459614,20,34.76920557022095
a3,4,25,10,98.84529946162075,0.051949324105203906,216.90158730159084,874.7641830239577,0.5978949694274847,48,34.76920557022095
a3,4,26,10,98.84529946162075,0.1578464516603229,19.21230158730507,875.0760145595025,0.3744227598070652,16,34.76920557022095
a3,4,27,10,98.84529946162075,0.06049328086330514,95.80992063492417,875.1984491479251,0.589338271593899,31,34.76920557022095
a3,4,28,10,98.84529946162075,0.20974408852598192,13.337301587305078,875.4243565277045,0.3085661875858123,13,34.76920557022095
a3,4,29,10,98.84529946162075,0.05291484525144491,183.42500000000345,875.5861105139072,0.6007399513089385,41,34.76920557022095
a3,4,30,10,98.84529946162075,0.051366331242453094,258.0781746031782,875.6844012465134,0.5920540983570819,53,34.76920557022095
a3,4,31,10,98.84529946162075,0.08940825732857016,45.449206349209796,875.7211034378607,0.5080492240098743,23,34.76920557022095
a3,4,32,10,98.84529946162075,0.09140651658795032,40.16865079365423,876.0137586163016,0.49894179248793097,22,34.76920557022095
a3,4,33,10,98.84529946162075,0.25422678081639516,10.201587301590802,876.1073112469968,0.27136389138769607,11,34.76920557022095
a3,4,34,10,98.84529946162075,0.062035407742633636,90.44087301587652,876.5246276418336,0.5808655932399626,30,34.76920557022095
a3,4,35,10,98.84529946162075,0.07191694373084377,59.5682539682574,876.6525589558037,0.5449089512101424,25,34.76920557022095
a3,4,36,10,98.84529946162075,0.0541075415053735,157.6698412698447,876.7219431485438,0.6062537105665928,37,34.76920557022095
a3,4,37,10,98.84529946162075,0.1108023650443697,29.6650793650828,876.759370980825,0.451415981681487,20,34.76920557022095
a3,4,38,10,98.84529946162075,0.05793283774295252,112.54484126984474,876.8234074149574,0.5948865210619965,33,34.76920557022095
a3,4,39,10,98.84529946162075,0.23253852078730888,11.561111111114613,877.0122809240326,0.2909866072827257,12,34.76920557022095
a3,4,40,10,98.84529946162075,1.1735878768763222,1.6436507936543636,877.0762237040485,0.03655270650732033,5,34.76920557022095
a3,4,41,10,98.84529946162075,0.05536262773158759,141.78333333333677,877.1328582657344,0.6054583798479347,36,34.76920557022095
a3,4,42,10,98.84529946162075,0.051549323745477715,241.74603174603527,877.1496689732335,0.5937916410021623,50,34.76920557022095
a3,4,43,10,98.84529946162075,0.05836899795934408,108.42142857143209,877.1968793155746,0.5944639853070984,32,34.76920557022095
a3,4,44,10,98.84529946162075,0.06446998250526523,80.37579365079719,877.1982282192614,0.5698699613714783,29,34.76920557022095
a3,4,45,10,98.84529946162075,0.051587584505548456,237.80674603174958,877.2764561474347,0.5949605614510016,49,34.76920557022095
a3,4,46,10,98.84529946162075,0.053312646196668284,176.86706349206696,877.3049496368078,0.6064743548808675,39,34.76920557022095
a3,4,47,10,98.84529946162075,0.05221475139596214,201.7091269841305,877.334988250939,0.6011243662094271,45,34.76920557022095
a3,4,48,10,98.84529946162075,0.05443628501706719,152.6353174603209,877.6251365205283,0.6074826128001002,36,34.76920557022095
a3,4,49,10,98.84529946162075,0.05198695356297084,209.9452380952416,877.8294324881197,0.5991399378875077,46,34.76920557022095
a3,4,50,10,98.84529946162075,0.06269837021274734,86.84761904762259,877.880431185976,0.575430572629778,30,34.76920557022095
a3,4,51,10,98.84529946162075,0.05261470693764937,192.5138888888923,877.9007139093742,0.6045402457257797,43,34.76920557022095
a3,4,52,10,98.84529946162075,0.17821403336246203,16.56825396825745,877.9727289547054,0.35860139127458573,14,34.76920557022095
a3,4,53,10,98.84529946162075,0.0556550039700308,137.33888888889234,878.0556422935663,0.6056664785275546,35,34.76920557022095
a3,4,54,10,98.84529946162075,0.4571607706507999,5.181746031749586,878.0633595749487,0.15009064503758338,8,34.76920557022095
a3,4,55,10,98.84529946162075,0.051425565026042855,246.2972222222258,878.0740844053867,0.5944207327513735,51,34.76920557022095
a3,4,56,10,98.84529946162075,0.0516579499044977,233.3178571428607,878.1358667784816,0.5960436780202404,49,34.76920557022095
a3,4,57,10,98.84529946162075,0.05181292953663365,220.40952380952734,878.2174712067654,0.5989972661758918,48,34.76920557022095
a3,4,58,10,98.84529946162075,0.12812636380010253,25.061507936511397,878.2641011137471,0.4339093084373029,19,34.76920557022095
a3,4,59,10,98.84529946162075,0.09887733249542674,37.902777777781274,878.2760593021726,0.4900025379533817,22,34.76920557022095
a3,4,60,10,98.84529946162075,0.05178790320480315,224.47023809524163,878.2986395836517,0.5960581266173808,47,34.76920557022095
a3,4,61,10,98.84529946162075,0.05516450416537824,145.9571428571463,878.3324714938585,0.6045306815289622,37,34.76920557022095
a3,4,62,10,98.84529946162075,0.4420470343046661,5.602777777781344,878.3405703839569,0.15436625075629878,8,34.76920557022095
a3,4,63,10,98.84529946162075,0.08552856761458419,48.54325396825747,878.3650685880302,0.5066929108478039,23,34.76920557022095
a3,4,64,10,98.84529946162075,0.7990001071252945,1.8829365079401201,878.4031031587838,0.08203532211427392,5,34.76920557022095
a3,4,65,10,98.84529946162075,0.05198695356297084,209.9452380952416,878.4538765866228,0.5991399378875077,46,34.76920557022095
a3,4,66,10,98.84529946162075,0.0739114415033256,55.80198412698757,878.4926333229,0.5400173760380957,24,34.76920557022095
a3,4,67,10,98.84529946162075,0.5269969211368861,4.473809523813091,878.5309995924019,0.1347646154607926,7,34.76920557022095
a3,4,68,10,98.84529946162075,0.7660920260972979,2.954761904765495,878.864781869795,0.08810228076536879,6,34.76920557022095
a3,4,69,10,98.84529946162075,0.08501974155980271,51.61230158730506,878.8773480135981,0.5228370971493749,24,34.76920557022095
a3,4,70,10,98.84529946162075,0.06405609523259065,82.67658730159086,878.8773907346056,0.565381580526639,30,34.76920557022095
