dataset,run,indiv,L,delta,VAR,CNN,HV,ARI,clusters,time
dim032,4,0,10,96.875,0.08594009055376542,0.0,9068.973865613463,1.0,16,20.886847734451294
dim032,4,1,10,96.875,0.08594009055376542,0.0,9068.97448268712,1.0,16,20.886847734451294
dim032,4,2,10,96.875,0.08445085185425168,271.3853174603161,9068.976547392347,0.8775756085527189,32,20.886847734451294
dim032,4,3,10,96.875,0.08451105823195085,239.26626984126855,9068.996580176943,0.8920718364796555,30,20.886847734451294
dim032,4,4,10,96.875,0.08566022751748043,27.530952380951064,9069.003838862453,0.9895986090808624,17,20.886847734451294
dim032,4,5,10,96.875,0.08448610667605305,250.83095238095103,9069.005876069117,0.8866649366077919,30,20.886847734451294
dim032,4,6,10,96.875,0.0845915880660718,218.62936507936374,9069.010350251763,0.899195865399626,27,20.886847734451294
dim032,4,7,10,96.875,0.0846595974136653,201.72341269841138,9069.013138011524,0.9102499208763902,27,20.886847734451294
dim032,4,8,10,96.875,0.08576582825921715,17.049206349205033,9069.014822142639,0.9927857333457996,21,20.886847734451294
dim032,4,9,10,96.875,0.08505175037631864,119.7777777777764,9069.018394617455,0.9444818520391485,23,20.886847734451294
dim032,4,10,10,96.875,0.08491579619423563,143.96626984126846,9069.024674504568,0.9307378269934996,25,20.886847734451294
dim032,4,11,10,96.875,0.08473860756945478,181.8075396825383,9069.025511315565,0.9158748742502412,27,20.886847734451294
dim032,4,12,10,96.875,0.0849411277432497,141.44087301587166,9069.03197411128,0.9391905182119243,25,20.886847734451294
dim032,4,13,10,96.875,0.08561454967110622,32.280555555554244,9069.048419791325,0.9875090278306938,18,20.886847734451294
dim032,4,14,10,96.875,0.08557866157956208,35.11309523809392,9069.050132511038,0.986427562657063,20,20.886847734451294
dim032,4,15,10,96.875,0.08506219137683928,114.52619047618913,9069.052153987028,0.9493124796297849,26,20.886847734451294
dim032,4,16,10,96.875,0.08518227310665033,89.81825396825263,9069.052652851062,0.9592475715222775,24,20.886847734451294
