dataset,run,indiv,L,delta,VAR,CNN,HV,ARI,clusters,time
dim1024,5,0,10,96.875,0.1021751816130253,0.0,34251.10884577213,1.0,16,12.24287223815918
dim1024,5,1,10,96.875,0.1021751816130253,0.0,34251.14432558235,1.0,16,12.24287223815918
dim1024,5,2,10,96.875,0.0978108245776524,13.502777777777773,34251.14575402692,0.9927020878262065,23,12.24287223815918
dim1024,5,3,10,96.875,0.0978108245776524,13.502777777777773,34251.14575402692,0.9927020878262065,23,12.24287223815918
dim1024,5,4,10,96.875,0.10123380226767494,1.92896825396825,34251.14591237258,0.9989584001515054,17,12.24287223815918
dim1024,5,5,10,96.875,0.10047014311155948,3.857936507936504,34251.14606014449,0.9979148959588116,18,12.24287223815918
dim1024,5,6,10,96.875,0.10123380226767494,1.92896825396825,34251.14692389326,0.9989584001515054,17,12.24287223815918
dim1024,5,7,10,96.875,0.09988660865158443,5.786904761904758,34251.14700654443,0.9968694821946062,19,12.24287223815918
dim1024,5,8,10,96.875,0.10047014311155948,3.857936507936504,34251.14700654443,0.9979148959588116,18,12.24287223815918
dim1024,5,9,10,96.875,0.0993459215353727,7.7158730158730116,34251.14700654443,0.9958221536124282,20,12.24287223815918
dim1024,5,10,10,96.875,0.09988660865158443,5.786904761904758,34251.14700654443,0.9968694821946062,19,12.24287223815918
dim1024,5,11,10,96.875,0.0993459215353727,7.7158730158730116,34251.14700654443,0.9958221536124282,20,12.24287223815918
dim1024,5,12,10,96.875,0.09881127565170042,9.644841269841265,34251.14700654443,0.9947895747114568,21,12.24287223815918
dim1024,5,13,10,96.875,0.09881127565170042,9.644841269841265,34251.14700654443,0.9947895747114568,21,12.24287223815918
dim1024,5,14,10,96.875,0.09828689134568255,11.573809523809519,34251.14700654443,0.993738431279701,22,12.24287223815918
dim1024,5,15,10,96.875,0.09828689134568255,11.573809523809519,34251.14700654443,0.993738431279701,22,12.24287223815918
dim1024,5,16,10,96.875,0.10123380226767494,1.92896825396825,34251.14700654443,0.9989584001515054,17,12.24287223815918
dim1024,5,17,10,96.875,0.10123380226767494,1.92896825396825,34251.14700654443,0.9989584001515054,17,12.24287223815918
dim1024,5,18,10,96.875,0.10123380226767494,1.92896825396825,34251.14700654443,0.9989584001515054,17,12.24287223815918
